,Tweets
940,schneider electr infra q4 result firm loss narrow r 11 crore tbg livestockr financ market httpstcokcvhelgyxd
941,apollo hospit q4 result co post net profit r 169 crore tbg livestockr financ market trade httpstcokb30qlpqzc
942,asia capit sell stake rbl bank tbg livestockr financ market trade nsel marketnew newsupd httpstcof2pvztyluz
943,nike report earn thursday dont expect beat tbg livestockr financ market trade nsel httpstcoij72wztfqw
944,asian market gain fed chief say u inflat temporari tbg livestockr financ market trade httpstcoy2s3ih7zhu
945,corn poi rais price display glass stock ralli tbg livestockr financ market trade httpstco2ve8mcrre6
946,ralli india look boost manufactur capac launch new product tbg livestockr financ market httpstcofxjd32v1tn
947,dabur replac paper carton use pack ayurved toothpast tbg livestockr financ market httpstcobvucc5j59q
948,bank maharashtra get sharehold nod rais r 5000 cr tbg livestockr financ market trade httpstcoreeqkhb74v
949,futur retail seek extens time file result tbg livestockr financ market trade nsel httpstcohxbcwjpvww
950,lic hous financ rais r 2334 cr lic equiti capit tbg livestockr financ market httpstcocp6a5kyu91
951,ptc india post 4 rise q4 profit r 4977 cr tbg livestockr financ market trade nsel httpstcov4ixnnkhzg
952,union bank india rais r 850 cr bond tbg livestockr financ market trade nsel httpstco3w3nlus974
953,jio made india 5g solut global competit mukesh ambani tbg livestockr financ market httpstcob1jjfqmi6d
954,ptc india board approv acquisit ilampf energi develop energi consult biz tbg livestockr httpstcojw3kpudx6i
955,jio big opportun tap jiophon next industri watcher tbg livestockr financ market httpstcov0gl8up8rg
956,nifty50 face stiff resist 1585015900 level tbg livestockr financ market trade nsel httpstcooaijwthi1h
957,nclt direct relianc home financ repay due ncd holder tbg livestockr financ market trade httpstco5wmfqp1gg9
958,dow jone jump 300 pt sampp 500 nasdaq hit record high jobless claim ea tbg livestockr financ httpstcodfclpazvdd
959,indian bank focus fee incom cost reduct boost bottom line tbg livestockr financ market httpstcotv3qmfwd19
960,nifti form insid bar consolid phase continu tbg livestockr financ market trade nsel httpstco3z9sewlmti
961,gold price fall r 93 silver rise r 99 tbg livestockr financ market trade nsel marketnew httpstcoelg0b0xd7l
962,crude oil futur rise spot demand tbg livestockr financ market trade nsel marketnew newsupd httpstcofegpvyifeb
963,aluminium futur fall low demand tbg livestockr financ market trade nsel marketnew newsupd httpstcoxtzq8oubar
964,zinc futur mute demand tbg livestockr financ market trade nsel marketnew newsupd httpstcomplsbd230f
965,gmr infra pledg 24 crore share favour klj plastic tbg livestockr financ market trade httpstcozx8x2qupuq
966,fampo bullish candl amp insid bar nifti chart give bull edg tbg livestockr financ market trade httpstcou1punrc4yh
967,asirvad microfin securitis mf loan worth r 262 crore tbg livestockr financ market trade nsel httpstcog5zqjubega
968,robinhood ceo call chang exchang price rule tbg livestockr financ market trade nsel httpstco6cdb61ogwd
969,sebi mull framework spac help startup list bse nse tbg livestockr financ market httpstcodqqzvjs5qd
970,india flag high oil price concern opec tbg livestockr financ market trade nsel marketnew httpstco0yl0diynbl
971,sona comstar shyam metal make gain stock market debut tbg livestockr financ market trade httpstco28skfbjw6t
972,wall street nasdaq sampp 500 hit alltim high job recoveri gain traction tbg livestockr financ httpstco0fspitmcfc
973,mukesh ambani plan fail prop ril stock tbg livestockr financ market trade nsel marketnew httpstcounrta455ax
974,india pesticid ipo subscrib 379 time day 2 tbg livestockr financ market trade nsel httpstco6wfakbjxzm
975,halfway year steel ethanol lead rise commod price tbg livestockr financ market httpstcotxq2wd9h3o
976,nasdaq set recordagain sampp 500 come close tbg livestockr financ market trade nsel httpstco0insknxcsf
977,gold price fall hold onto weektod gain tbg livestockr financ market trade nsel marketnew httpstcoclfg3qerrh
978,dow extend gain 300 point biden announc infrastructur deal tbg livestockr financ httpstco00b9xrprm
979,caterpillar boe share gain contribut dow 350point ralli tbg livestockr financ market trade httpstcohqi9nrnmnt
980,walmart come bank citigroup say tbg livestockr financ market trade nsel marketnew httpstcodqrtdz1nix
981,siemen stock could rise 50 tbg livestockr financ market trade nsel marketnew newsupd httpstcomwiph053yq
982,deliveroo share jump rule rider selfemploy tbg livestockr financ market trade nsel httpstcohbajemshst
983,amgen inc httpstco4d33pdyobp inc share gain lead dow 262point jump tbg livestockr financ httpstcobbhmdldeoi
984,eli lilli jump dollar tree slip stock market race higher tbg livestockr financ market trade httpstconiypkirjy2
985,siemen ceo want reinvent 174yearold industri giant tbg livestockr financ market trade httpstcohgbahqsvwx
986,treasuri yield mix follow u jobless claim durablegood gdp report tbg livestockr financ httpstcofvcfnnkwt2
987,bank lead european stock higher bond yield recov tbg livestockr financ market trade nsel httpstcoa32ypyk6kr
988,copper miner stock could take hit new tax chile tbg livestockr financ market trade nsel httpstco6ixckcoebb
989,asian market stall investor watch catalyst tbg livestockr financ market trade nsel httpstcome049sieiw
990,xpeng rais money hong kong list tbg livestockr financ market trade nsel marketnew httpstcoskr5azffea
991,oil price rise brent hold ground 2 12year high tbg livestockr financ market trade httpstcoroezvvouct
992,accentur stock rise strong earn spend gain steam tbg livestockr financ market httpstco1egkiwex8k
993,airlin share rise eu lift travel ban american report tbg livestockr financ market trade httpstcocy3lbebzya
994,vivendi confirm talk ackman spac 10 stake univers music group tbg livestockr financ httpstco5gxbz0pv2d
995,berkshir hathaway inc cl b stock fall wednesday underperform market tbg livestockr financ market httpstcolmjrfiwivi
996,toshiba board chairman fail win reappoint pivot sharehold vote tbg livestockr financ httpstcocbbapw6eec
997,asian market gain u stock ralli infrastructur deal tbg livestockr financ market trade httpstco9wcze5vwf
998,dow rise 300 point sampp 500 nasdaq score record biden announc infrastructur deal tbg httpstcod7qq7ancs0
999,tesla inc stock outperform competitor strong trade day tbg livestockr financ market trade httpstco96zabx9fr
1000,35260 spot level banknifti decis maker keep eye near term view posit leader httpstco4njqy2i2f8
1001,rt supra_trad 35260 spot level banknifti decis maker keep eye near term view posit leader b
1002,get call everi morn past 3 month axi bank ask pay loan amount 18l httpstcojq6kmxxgv3
1003,maxlifeinsur axisbank dgship fleetmanag
1004,rt vishalj02779969 maxlifeinsur axisbank dgship fleetmanag
1005,dear axi bank someon miss emi share someon phonebook number collect agenc withou httpstcokmjcyekocz
1006,httpstcodxgpldxsir
1007,rt anandapatil76
1008,axisbank banknifti stock httpstcotxb2fz46ij
1009,axisbank look good current level 754 could touch 800 come day buy current level httpstco3i6izep0c2
1010,axi bank axisbank mera paisa wapu kro jo consold charg k nam pr debit kiya h
1011,axisbank axisbank ji kisi cutmr k sath axi bank consold charg k naam pr jyada pais debit kr rha h wo sb tw httpstcovjg2bexdiz
1012,want invest midcap mutual fund take look 3 best perform mid cap mutualfund nipponindia httpstcoqtvsm1ef2
1013,top gainer adn loser marketupd stockmarketupd tatasteel sbin axisbank stayinvested100 httpstcocib5sntj76
1014,banknifti breakout seen sustain 35165 expect good move come day short term target 37 httpstco5dccdtietl
1015,axisbank rang trade tight rang last one month soon see good momentum httpstcoxiba6fanix
1016,rt tradin_insight axisbank rang trade tight rang last one month soon see good momentum sto
1017,rt avinashvr1991 axisbank httpstcovmprygrqwr
1018,avinashvr1991 super awesom sir call parti axisbank
1019,chart setup axisbank httpstcodhtqhdpfyi httpstcompydqhavy8
1020,axisbank httpstcoe7vxt7zhxx httpstcodx7jwx2keu
1021,enter axisbank httpstcox9w07ckadz
1022,axisbank httpstcowlwzlskmav httpstcovmprygrqwr
1023,axisbank centuri httpstco1pryyy3ozz httpstcotkonud119p
1024,rt avinashvr1991 axisbank httpstcovmprygrqwr
1025,rt avinashvr1991 axisbank centuri httpstcotkonud119p
1026,axisbank 7401st tgt 738 done httpstcoyxxhbstbbn
1027,tradingview axisbank 1st tgt 470 done high 744 httpstcox6hy7hbdpv
1028,tradingview 21 june axisbank made 749 toward 2 tgt tatasteel 1126 toward 1 tgt sell nifti 15600pe low 1 httpstcowtteiojmjm
1029,tradingview 21 june tatasteel 1160 2nd tgt done entri 1100 axisbank made 749 toward 2 tgt
1030,positionaltrad tradingview axisbank high 758 near 3 tgt 760 tatasteel high 1170 near 3 tgt httpstconsd0jyux8n
1031,axisbank stuck rang 6 week trend posit 751 sustain good long support ment httpstcokwg5coyco9
1032,axisbank bought 754 yesterday told 751 support remain 720725 mastersimpl httpstcow3tsxtbnrj
1033,mutualfund favourit stock icicibank 521 scheme hdfcbank 496 scheme airtel 490 scheme infosi 4 httpstcoinqbwivwtt
1034,axisbank break 01st hurdl 750 next 760
1035,axisbank httpstcohmz5ywf3p7
1036,icmcbo alert sell axisbank cmp 74345 target 0 sl 0 nimblrta alert delay demonstr httpstcoz4zqigje0o
1037,pullback sell axisbank 73785 6172021 22500 pm sl 7454 t2 72878 nimblrta amibrok alert delay 15 httpstcokiudlxhsra
1038,pullback sell axisbank 737 6182021 91500 sl 7432 t1 73116 nimblrta amibrok alert delay 15 min httpstcopk8jbiuqwd
1039,revers sell axisbank 73195 6182021 95500 sl 7432 t1fibo 72697 t2fibo 72077 t3fibo 71457 httpstcolxiafjkwxi
1040,revers sell axisbank 73195 6182021 95500 sl 7432 t1 73116 nimblrta amibrok alert delay 15 httpstcodu1nyry3z6
1041,icmcbo alert sell axisbank cmp 7278 target 0 sl 0 nimblrta alert delay demonstr httpstconjwrsgqmji
1042,icmcbo alert buy axisbank cmp 73335 target 0 sl 0 nimblrta alert delay demonstr httpstco6pdu1gfzov
1043,revers buy axisbank 73315 6182021 25000 pm sl 72225 t2 73836 nimblrta amibrok alert delay 15 httpstcoayghvislvi
1044,icmcbo alert buy axisbank cmp 7314 target 0 sl 0 nimblrta alert delay demonstr f httpstcocgumluvdbj
1045,icmcbo alert buy axisbank cmp 7352 target 0 sl 0 nimblrta alert delay demonstr f httpstcoakicjlt0n0
1046,icmcbo alert buy axisbank cmp 74115 target 0 sl 0 nimblrta alert delay demonstr httpstcoynqubsdzpq
1047,revers sell axisbank 7369 6232021 23500 pm sl 74375 t1 7317 nimblrta amibrok alert delay 15 httpstco9kkwb3afhz
1048,icmcbo alert buy axisbank cmp 737 target 0 sl 0 nimblrta alert delay demonstr httpstcoquglhjzm42
1049,icmcbo alert sell axisbank cmp 7365 target 0 sl 0 nimblrta alert delay demonstr httpstcotrikm2ln4w
1050,icmcbo alert buy axisbank cmp 74155 target 0 sl 0 nimblrta alert delay demonstr httpstco1ijeyh8l9
1051,icmcbo alert buy axisbank cmp 7584 nimblrta alert delay demonstr live alert httpstcoblkm0ssfqu
1052,morn move nf convinc led ril bnf show clear outperform led icicibank httpstcovnq9vob2jq
1053,cbi book gautam thapar former chairman crompton greav 2435 crore fraud case follow buzz_lyt mor httpstcofelm771k2x
1054,buy axisbank abv 748 axisbank frontpage_app
1055,carri option sell axisbank 740 ce 1 lot 275 buy 750 ce 2 lot 22 entri 165 sl 5 tgt 41 cmp 165 axisbank frontpage_app
1056,axisbank tgt achiev axisbank 758 profit rs12000 per lot frontpage_app
1057,axisbank carri option exit long axisbank 750ce 2 lot 3250 short 740ce 38 book prof httpstcob1agwdats9
1058,rt ashima_fno axisbank trend breakout httpstcowaotmve5f3
1059,axisbank sbi icicibank show strength buy day high sl 2 httpstcorbdjeqzv1b
1060,axisbank sbin icicibank well httpstcoh1bpiucxev
1061,axisbank much await breakout httpstco2gspalmxhh
1062,rt prashant280294 axisbank much await breakout httpstco2gspalmxhh
1063,axisbank close 765 fantast httpstcozfe58ny62l
1064,rt ameyanifti axisbank close 765 fantast httpstcozfe58ny62l
1065,chart banknifti axisbank icicibank hdfcbank sbin chart look bullish httpstcor2fnmn5mn3
1066,long time axisbank cross 758 level watch
1067,axisbank look great breakout daili weekli chart volum
1068,axisbank 755 765 tgt hit httpstcojwuxq4kqen
1069,axisbank 738 gt 765 far go expect far close 760 bring given target httpstco8ytvrfsnti
1070,axisbank bo stockmarket httpstcorwyaxnc7j7
1071,axi bank cup handl breakout cmp 764 target 798 825850 axisbank chart httpstco96er7ihqxb
1072,rt vinitmalik07 nifty50 stock give good weekli close good juli expiri icicibank cmp 648 tc cmp 3368 axisb
1073,axisbank target achiev icicibank target t1 750 still intact httpstcoasvq3ymhjn
1074,rt vinitmalik07 nifty50 stock give good weekli close good juli expiri icicibank cmp 648 tc cmp 3368 axisb
1075,axisbank abki baar 900 paar frontpage_app
1076,rt rachitpjain think banknifti good technic stock look good axisbank hdfcbank icicibank sbin
1077,axisbank chart httpstcotz168woxcw httpstco9olvrdaoop
1078,axisbank rock today httpstcosiflbc6q3u
1079,rt ashima_fno axisbank trend breakout httpstcowaotmve5f3
1080,axisbank 765764 let seller exhaust suppli might go side way insid today strong candl
1081,nifty50 stock give good weekli close good juli expiri icicibank cmp 648 tc cmp 3368 httpstcosvjli2ojlw
1082,rt vinitmalik07 nifty50 stock give good weekli close good juli expiri icicibank cmp 648 tc cmp 3368 axisb
1083,nifti bank shed 530 pt bear hover stock indusind sbi axi bank icici bank hdfc bank steep fal httpstco6wgf44zlqv
1084,bank nifti scrap earli gain trade flat au small kotak bank weigh axi bank top gainer httpstcoxdmcy0guwp
1085,axi bank board allot 14 lakh equiti share esop scheme httpstco7veiwehm3a axisbank
1086,nifti bank index ralli 16 axi bank sbi icici bank top perform httpstcojkdmjinpe3 nifti niftybank httpstcoxdcrzjnmkg
1087,keep eye sbi nifti banknifti axisbank
1088,axisbank cmp 761 breakout buy dip
1089,2 btst pick axisbank abfrl aditya birla fashion riski work give 5 1 day btst nifty50 httpstcogisdq0l1vo
1090,never appli loan servic axisbank worst servic
1091,sensex 226pt end 52925 nifti 69pt end 15860 follow stockinvesta stockmarketindia httpstcojfr8vexkt0
1092,rt stockinvesta sensex 226pt end 52925 nifti 69pt end 15860 follow stockinvesta stockmarketindia stockmarket st
1093,view bull keep eye axisbank cash cmp 74530741 sup 735 gogiandgoli niftyfutur banknifti nse bse httpstcoicqvidjdjo
1094,axisbank cash 74530 75650 gogiandgoli niftyfutur banknifti nse bse sensexbaba stockmarket httpstcoo5wcwj8hzw
1095,axisbank cash 74530 76595 gogiandgoli niftyfutur banknifti nse bse sensexbaba stockmarket httpstcoo8galph7ib
1096,took basket stock long short today axisbank short itc shorti lt short tatamotor long httpstcovkek5k38oc
1097,book profit ultracemco tatamotor whent long bajfin hcltech carri short axisbank itc lt fu httpstcobwer1nvbk9
1098,rejig part 2 lot sector rotat today adjust posit p httpstcocot8aijodo
1099,tatasteel axisbank sbi icicibank hindalco top gainer today trade
1100,sensex bse itc maruti bhartiairtel ongc hdfc infosi tc relianc kotakbank icicibank hdfcbank titan httpstcowmgltxepvm
1101,sensex bse itc maruti bhartiairtel ongc hdfc infosi tc relianc kotakbank icicibank hdfcbank titan httpstcobqowwtxzov
1102,sensex bse itc maruti bhartiairtel ongc hdfc infosi tc relianc kotakbank icicibank hdfcbank titan httpstcolj7tr4yimj
1103,sensex bse itc maruti bhartiairtel ongc hdfc infosi tc relianc kotakbank icicibank hdfcbank titan httpstcogyljxjffsb
1104,stockmarketicon nifti sgxnifti nifty50 banknifti niftyfutur postmarket tatasteel axisbank sbi httpstco1epxu1wyb
1105,nifti close 1568695 sensex close 5230608 adaniport wipro divislab shreecem jswsteel kotakbank httpstcouykjw2r26b
1106,close bell nifti close 15863 sensex close 5292504 relianc ntpc titan hindunilvr asianpaint httpstcojorlnlvek1
1107,close bell today nifti 50 top gainer tatasteel axisbank sbi icicibank hindalco httpstcodzyffue2dx
1108,axisbank boooooom bought 7447 high made far 764 lot size 1200 hadc indic nifti nifty50 httpstco9pug3rud9
1109,axisbank boooooom bought 7447 new high made 765 lot size 1200 hadc indic nifti nifty50 tatasteel httpstcoo6fycdxgwd
1110,rt beingakash26_ axisbank boooooom bought 7447 new high made 765 lot size 1200 hadc indic nifti nifty50 tatasteel cadi
1111,hdfcbank axisbank citibank sbi
1112,alway watch heavi weigh hdfcbank kotakbank icicibank axisbank stock confirm banknifti move nece httpstcoiwdbyga6tf
1113,bankninfti nifty50 nifti enjoy ride bank nifti look like huge upsid view work perfec httpstcohvuvzklzrm
1114,think banknifti good technic stock look good axisbank hdfcbank icicibank sbin
1115,axisbank weekli chart httpstcoiokx2z0jyj
1116,rt rachitpjain think banknifti good technic stock look good axisbank hdfcbank icicibank sbin
1117,businessnew equiti benchmark sensex tumbl 179 point thursday weigh loss index heavyweight httpstcoidlqovaxzb
1118,businessnew equiti benchmark sensex jump 226 point end fresh lifetim high friday boost httpstcohfeekdkey9
1119,rt ashima_fno axisbank trend breakout httpstcowaotmve5f3
1120,axisbank trend breakout httpstcowaotmve5f3
1121,rt ashima_fno axisbank trend breakout httpstcowaotmve5f3
